"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка изменения авто авто","927","Проверка изменения авто","DiplomaTeam2 RegressionTest","Tue Aug 19 08:49:30 UTC 2025","passed","Tue Aug 19 08:49:31 UTC 2025","tests.api.CarTest","API Tests","tests.api.CarTest","updateCar"
"Проверка пользователя в БД","2401","Проверка записи в БД при создании пользователя","DiplomaTeam2 RegressionTest","Tue Aug 19 08:49:35 UTC 2025","passed","Tue Aug 19 08:49:37 UTC 2025","tests.jdbc.UserTest","JDBC Tests","tests.jdbc.UserTest","checkCreateUserInDateBase"
"Проверка сообщения, что авто создан","24431","Позитивный тест Проверка сообщения, что авто создан","DiplomaTeam2 RegressionTest","Tue Aug 19 08:52:20 UTC 2025","broken","Tue Aug 19 08:52:44 UTC 2025","tests.ui.CarTest","UI Tests","tests.ui.CarTest","createCar"
"Проверка, что пользователь не может войти в магазин, когда вводит невалидные данные","3480","Проверка, что пользователь не может войти в систему, когда вводит невалидные данные","DiplomaTeam2 RegressionTest","Tue Aug 19 08:49:28 UTC 2025","passed","Tue Aug 19 08:49:32 UTC 2025","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithNegativeValue"
"Проверка получения авто","858","Проверка получения авто","DiplomaTeam2 RegressionTest","Tue Aug 19 08:49:28 UTC 2025","passed","Tue Aug 19 08:49:28 UTC 2025","tests.api.CarTest","API Tests","tests.api.CarTest","readCar"
"Проверка, что авто у пользователя удален","24411","Позитивный тест Продажа авто","DiplomaTeam2 RegressionTest","Tue Aug 19 08:58:33 UTC 2025","broken","Tue Aug 19 08:58:57 UTC 2025","tests.ui.CarTest","UI Tests","tests.ui.CarTest","checkSellCarInReadUser"
"Проверка создания пользователя статус кода 201","4089","checkStatusCode201","DiplomaTeam2 RegressionTest","Tue Aug 19 08:50:43 UTC 2025","broken","Tue Aug 19 08:50:47 UTC 2025","tests.ui.CreateUserTest","UI Tests","tests.ui.CreateUserTest","checkStatusCode201"
"Проверка создания авто","875","Проверка создания авто","DiplomaTeam2 RegressionTest","Tue Aug 19 08:49:25 UTC 2025","passed","Tue Aug 19 08:49:26 UTC 2025","tests.api.CarTest","API Tests","tests.api.CarTest","createCar"
"Проверка удаления дома","859","Проверка удаления дома","DiplomaTeam2 RegressionTest","Tue Aug 19 08:49:34 UTC 2025","passed","Tue Aug 19 08:49:35 UTC 2025","tests.api.HouseTest","API Tests","tests.api.HouseTest","deleteHouse"
"Проверка сообщения, что авто не создан","3959","Негативный тест. Проверка сообщения, что авто не создан","DiplomaTeam2 RegressionTest","Tue Aug 19 08:53:03 UTC 2025","passed","Tue Aug 19 08:53:07 UTC 2025","tests.ui.CarTest","UI Tests","tests.ui.CarTest","createCarNotAllFieldCheck"
"Проверка добавления денег пользователю","873","addMoneyUser","DiplomaTeam2 RegressionTest","Tue Aug 19 08:49:22 UTC 2025","passed","Tue Aug 19 08:49:23 UTC 2025","tests.api.AddMoneyUserTest","API Tests","tests.api.AddMoneyUserTest","addMoneyUser"
"Проверка, что пользователь не может войти в систему с некорректным паролем","3410","Проверка, что пользователь не может войти в систему с некорректным паролем","DiplomaTeam2 RegressionTest","Tue Aug 19 08:49:32 UTC 2025","passed","Tue Aug 19 08:49:36 UTC 2025","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkPasswordField"
"Проверка получения пользователя","423","getUser","DiplomaTeam2 RegressionTest","Tue Aug 19 08:49:24 UTC 2025","passed","Tue Aug 19 08:49:25 UTC 2025","tests.api.GetUserTest","API Tests","tests.api.GetUserTest","getUser"
"Проверка создания дома","2168","Проверка создания дома","DiplomaTeam2 RegressionTest","Tue Aug 19 08:49:40 UTC 2025","passed","Tue Aug 19 08:49:43 UTC 2025","tests.jdbc.HouseTest","JDBC Tests","tests.jdbc.HouseTest","checkCreateHouseInDateBase"
"Проверка изменения авто дома","863","Проверка изменения дома","DiplomaTeam2 RegressionTest","Tue Aug 19 08:49:31 UTC 2025","passed","Tue Aug 19 08:49:32 UTC 2025","tests.api.HouseTest","API Tests","tests.api.HouseTest","updateHouse"
"Проверка, что созданный авто находится в таблице","23917","Проверка, что созданный авто находится в таблице","DiplomaTeam2 RegressionTest","Tue Aug 19 08:56:36 UTC 2025","broken","Tue Aug 19 08:57:00 UTC 2025","tests.ui.CarTest","UI Tests","tests.ui.CarTest","checkIdCarInTable"
"Проверка, что пользователь может купить авто","4086","Проверка, что пользователь может купить авто","DiplomaTeam2 RegressionTest","Tue Aug 19 08:50:26 UTC 2025","broken","Tue Aug 19 08:50:30 UTC 2025","tests.ui.BuyCarTest","UI Tests","tests.ui.BuyCarTest","checkUserWithCar"
"Проверка добавление денег пользователю","4118","checkAddNewMoneyByUser","DiplomaTeam2 RegressionTest","Tue Aug 19 08:49:50 UTC 2025","broken","Tue Aug 19 08:49:54 UTC 2025","tests.ui.AddMoneyUserTest","UI Tests","tests.ui.AddMoneyUserTest","checkAddNewMoneyByUser"
"Проверка, что созданный пользователь находится в таблице","4077","checkIfUserIsInTable","DiplomaTeam2 RegressionTest","Tue Aug 19 08:51:01 UTC 2025","broken","Tue Aug 19 08:51:05 UTC 2025","tests.ui.ReadAllUsersTest","UI Tests","tests.ui.ReadAllUsersTest","checkIfUserIsInTable"
"Проверка удаления авто","849","Проверка удаления авто","DiplomaTeam2 RegressionTest","Tue Aug 19 08:49:33 UTC 2025","passed","Tue Aug 19 08:49:33 UTC 2025","tests.api.CarTest","API Tests","tests.api.CarTest","deleteCar"
