"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка авто в БД","1471","Проверка создания авто","DiplomaTeam2 RegressionTest","Tue Aug 19 18:23:52 UTC 2025","passed","Tue Aug 19 18:23:54 UTC 2025","tests.jdbc.CarTest","JDBC Tests","tests.jdbc.CarTest","checkCreateCarInDateBase"
"Проверка удаления авто","2670","Проверка удаления авто","DiplomaTeam2 RegressionTest","Tue Aug 19 18:27:26 UTC 2025","broken","Tue Aug 19 18:27:28 UTC 2025","tests.ui.CarTest","UI Tests","tests.ui.CarTest","deleteCar"
"Проверка добавление денег пользователю","2702","checkAddNewMoneyByUser","DiplomaTeam2 RegressionTest","Tue Aug 19 18:23:59 UTC 2025","broken","Tue Aug 19 18:24:01 UTC 2025","tests.ui.AddMoneyUserTest","UI Tests","tests.ui.AddMoneyUserTest","checkAddNewMoneyByUser"
"Проверка удаления дома","613","Проверка удаления дома","DiplomaTeam2 RegressionTest","Tue Aug 19 18:23:49 UTC 2025","passed","Tue Aug 19 18:23:49 UTC 2025","tests.api.HouseTest","API Tests","tests.api.HouseTest","deleteHouse"
"Проверка получения токена для авторизации","368","Проверка получения токена для авторизации","DiplomaTeam2 RegressionTest","Tue Aug 19 18:23:38 UTC 2025","passed","Tue Aug 19 18:23:39 UTC 2025","tests.api.AuthorizationTest","API Tests","tests.api.AuthorizationTest","authorization"
"Создание пользователя API","608","createUser","DiplomaTeam2 RegressionTest","Tue Aug 19 18:23:40 UTC 2025","passed","Tue Aug 19 18:23:41 UTC 2025","tests.api.CreateUserTest","API Tests","tests.api.CreateUserTest","createUser"
"Проверка, что пользователь не может войти в систему с некорректным email","2053","Проверка, что пользователь не может войти в систему с некорректным email","DiplomaTeam2 RegressionTest","Tue Aug 19 18:23:38 UTC 2025","passed","Tue Aug 19 18:23:40 UTC 2025","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkEmailField"
"Проверка удаления авто","612","Проверка удаления авто","DiplomaTeam2 RegressionTest","Tue Aug 19 18:23:48 UTC 2025","passed","Tue Aug 19 18:23:48 UTC 2025","tests.api.CarTest","API Tests","tests.api.CarTest","deleteCar"
"Проверка пользователя в БД","1654","Проверка записи в БД при создании пользователя","DiplomaTeam2 RegressionTest","Tue Aug 19 18:23:50 UTC 2025","passed","Tue Aug 19 18:23:52 UTC 2025","tests.jdbc.UserTest","JDBC Tests","tests.jdbc.UserTest","checkCreateUserInDateBase"
"Проверка удаления пользователя код 204 и отсутствие в таблице","2721","checkStatusCode204","DiplomaTeam2 RegressionTest","Tue Aug 19 18:24:11 UTC 2025","broken","Tue Aug 19 18:24:14 UTC 2025","tests.ui.AllDeleteUserTest","UI Tests","tests.ui.AllDeleteUserTest","checkStatusCode204"
