"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка сообщения, что дом создан","2744","Позитивный тест Проверка сообщения, что дом создан","DiplomaTeam2 RegressionTest","Tue Aug 19 17:54:07 UTC 2025","broken","Tue Aug 19 17:54:09 UTC 2025","tests.ui.HouseTest","UI Tests","tests.ui.HouseTest","createHouse"
"Проверка, что созданный авто находится в таблице","23781","Проверка, что созданный авто находится в таблице","DiplomaTeam2 RegressionTest","Tue Aug 19 17:56:52 UTC 2025","broken","Tue Aug 19 17:57:16 UTC 2025","tests.ui.CarTest","UI Tests","tests.ui.CarTest","checkIdCarInTable"
"Проверка сообщения, что авто не создан","3314","Негативный тест. Проверка сообщения, что авто не создан","DiplomaTeam2 RegressionTest","Tue Aug 19 17:54:19 UTC 2025","passed","Tue Aug 19 17:54:22 UTC 2025","tests.ui.CarTest","UI Tests","tests.ui.CarTest","createCarNotAllFieldCheck"
"Проверка авто в БД","1538","Проверка создания авто","DiplomaTeam2 RegressionTest","Tue Aug 19 17:51:03 UTC 2025","passed","Tue Aug 19 17:51:05 UTC 2025","tests.jdbc.CarTest","JDBC Tests","tests.jdbc.CarTest","checkCreateCarInDateBase"
"Проверка, что пользователь может войти в систему, когда вводит валидные данные","2359","Проверка, что пользователь может войти в систему, когда вводит валидные данные","DiplomaTeam2 RegressionTest","Tue Aug 19 17:50:52 UTC 2025","passed","Tue Aug 19 17:50:55 UTC 2025","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLogin"
"Проверка добавления денег пользователю","652","addMoneyUser","DiplomaTeam2 RegressionTest","Tue Aug 19 17:50:50 UTC 2025","passed","Tue Aug 19 17:50:51 UTC 2025","tests.api.AddMoneyUserTest","API Tests","tests.api.AddMoneyUserTest","addMoneyUser"
"Проверка удаления авто","2733","Проверка удаления авто","DiplomaTeam2 RegressionTest","Tue Aug 19 17:55:26 UTC 2025","broken","Tue Aug 19 17:55:28 UTC 2025","tests.ui.CarTest","UI Tests","tests.ui.CarTest","deleteCar"
"Проверка удаления авто","619","Проверка удаления авто","DiplomaTeam2 RegressionTest","Tue Aug 19 17:50:59 UTC 2025","passed","Tue Aug 19 17:51:00 UTC 2025","tests.api.CarTest","API Tests","tests.api.CarTest","deleteCar"
"Проверка создания авто","640","Проверка создания авто","DiplomaTeam2 RegressionTest","Tue Aug 19 17:50:53 UTC 2025","passed","Tue Aug 19 17:50:53 UTC 2025","tests.api.CarTest","API Tests","tests.api.CarTest","createCar"
"Проверка получения авто","621","Проверка получения авто","DiplomaTeam2 RegressionTest","Tue Aug 19 17:50:55 UTC 2025","passed","Tue Aug 19 17:50:56 UTC 2025","tests.api.CarTest","API Tests","tests.api.CarTest","readCar"
"Проверка добавление денег пользователю","2775","checkAddNewMoneyByUser","DiplomaTeam2 RegressionTest","Tue Aug 19 17:51:10 UTC 2025","broken","Tue Aug 19 17:51:13 UTC 2025","tests.ui.AddMoneyUserTest","UI Tests","tests.ui.AddMoneyUserTest","checkAddNewMoneyByUser"
"Проверка получения дома","638","Проверка получения дома","DiplomaTeam2 RegressionTest","Tue Aug 19 17:50:56 UTC 2025","passed","Tue Aug 19 17:50:57 UTC 2025","tests.api.HouseTest","API Tests","tests.api.HouseTest","readHouse"
"Проверка создания дома","649","Проверка создания дома","DiplomaTeam2 RegressionTest","Tue Aug 19 17:50:54 UTC 2025","passed","Tue Aug 19 17:50:55 UTC 2025","tests.api.HouseTest","API Tests","tests.api.HouseTest","createHouse"
"Проверка, что пользователь не может войти в систему с некорректным email","2343","Проверка, что пользователь не может войти в систему с некорректным email","DiplomaTeam2 RegressionTest","Tue Aug 19 17:50:50 UTC 2025","passed","Tue Aug 19 17:50:52 UTC 2025","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkEmailField"
"Проверка получения токена для авторизации","385","Проверка получения токена для авторизации","DiplomaTeam2 RegressionTest","Tue Aug 19 17:50:50 UTC 2025","passed","Tue Aug 19 17:50:50 UTC 2025","tests.api.AuthorizationTest","API Tests","tests.api.AuthorizationTest","authorization"
"Проверка изменения авто авто","718","Проверка изменения авто","DiplomaTeam2 RegressionTest","Tue Aug 19 17:50:57 UTC 2025","passed","Tue Aug 19 17:50:58 UTC 2025","tests.api.CarTest","API Tests","tests.api.CarTest","updateCar"
"Создание пользователя API","626","createUser","DiplomaTeam2 RegressionTest","Tue Aug 19 17:50:52 UTC 2025","passed","Tue Aug 19 17:50:52 UTC 2025","tests.api.CreateUserTest","API Tests","tests.api.CreateUserTest","createUser"
