"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка удаления дома","2649","Проверка удаления дома","DiplomaTeam2 RegressionTest","Tue Aug 19 17:21:53 UTC 2025","broken","Tue Aug 19 17:21:55 UTC 2025","tests.ui.HouseTest","UI Tests","tests.ui.HouseTest","deleteHouse"
"Проверка удаления авто","23178","Проверка удаления авто","DiplomaTeam2 RegressionTest","Tue Aug 19 17:21:20 UTC 2025","broken","Tue Aug 19 17:21:43 UTC 2025","tests.ui.CarTest","UI Tests","tests.ui.CarTest","deleteCar"
"Проверка получения пользователя","271","getUser","DiplomaTeam2 RegressionTest","Tue Aug 19 17:16:26 UTC 2025","passed","Tue Aug 19 17:16:26 UTC 2025","tests.api.GetUserTest","API Tests","tests.api.GetUserTest","getUser"
"Проверка сообщения, что авто не создан","2725","Негативный тест. Проверка сообщения, что авто не создан","DiplomaTeam2 RegressionTest","Tue Aug 19 17:19:54 UTC 2025","passed","Tue Aug 19 17:19:57 UTC 2025","tests.ui.CarTest","UI Tests","tests.ui.CarTest","createCarNotAllFieldCheck"
"Проверка удаления дома","597","Проверка удаления дома","DiplomaTeam2 RegressionTest","Tue Aug 19 17:16:33 UTC 2025","passed","Tue Aug 19 17:16:34 UTC 2025","tests.api.HouseTest","API Tests","tests.api.HouseTest","deleteHouse"
"Проверка, что пользователь может купить авто","4250","Проверка, что пользователь может купить авто","DiplomaTeam2 RegressionTest","Tue Aug 19 17:17:21 UTC 2025","broken","Tue Aug 19 17:17:25 UTC 2025","tests.ui.BuyCarTest","UI Tests","tests.ui.BuyCarTest","checkUserWithCar"
"Проверка изменения авто авто","683","Проверка изменения авто","DiplomaTeam2 RegressionTest","Tue Aug 19 17:16:30 UTC 2025","passed","Tue Aug 19 17:16:31 UTC 2025","tests.api.CarTest","API Tests","tests.api.CarTest","updateCar"
"Проверка, что созданный авто находится в таблице","23659","Проверка, что созданный авто находится в таблице","DiplomaTeam2 RegressionTest","Tue Aug 19 17:22:25 UTC 2025","broken","Tue Aug 19 17:22:49 UTC 2025","tests.ui.CarTest","UI Tests","tests.ui.CarTest","checkIdCarInTable"
"Проверка получения токена для авторизации","365","Проверка получения токена для авторизации","DiplomaTeam2 RegressionTest","Tue Aug 19 17:16:23 UTC 2025","passed","Tue Aug 19 17:16:23 UTC 2025","tests.api.AuthorizationTest","API Tests","tests.api.AuthorizationTest","authorization"
"Проверка получения авто","606","Проверка получения авто","DiplomaTeam2 RegressionTest","Tue Aug 19 17:16:28 UTC 2025","passed","Tue Aug 19 17:16:29 UTC 2025","tests.api.CarTest","API Tests","tests.api.CarTest","readCar"
"Проверка удаления пользователя код 204 и отсутствие в таблице","3755","checkStatusCode204","DiplomaTeam2 RegressionTest","Tue Aug 19 17:17:06 UTC 2025","broken","Tue Aug 19 17:17:10 UTC 2025","tests.ui.AllDeleteUserTest","UI Tests","tests.ui.AllDeleteUserTest","checkStatusCode204"
"Проверка получения дома","625","Проверка получения дома","DiplomaTeam2 RegressionTest","Tue Aug 19 17:16:29 UTC 2025","passed","Tue Aug 19 17:16:30 UTC 2025","tests.api.HouseTest","API Tests","tests.api.HouseTest","readHouse"
