"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка, что пользователь может войти в систему, когда вводит валидные данные","3283","Проверка, что пользователь может войти в систему, когда вводит валидные данные","DiplomaTeam2 RegressionTest","Tue Aug 19 19:24:59 UTC 2025","passed","Tue Aug 19 19:25:03 UTC 2025","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLogin"
"Проверка, что авто у пользователя удален","24758","Позитивный тест Продажа авто","DiplomaTeam2 RegressionTest","Tue Aug 19 19:34:16 UTC 2025","broken","Tue Aug 19 19:34:40 UTC 2025","tests.ui.CarTest","UI Tests","tests.ui.CarTest","checkSellCarInReadUser"
"Проверка сообщения, что авто создан","24924","Позитивный тест Проверка сообщения, что авто создан","DiplomaTeam2 RegressionTest","Tue Aug 19 19:27:52 UTC 2025","broken","Tue Aug 19 19:28:17 UTC 2025","tests.ui.CarTest","UI Tests","tests.ui.CarTest","createCar"
"Проверка, что пользователь не может войти в систему с некорректным email","2837","Проверка, что пользователь не может войти в систему с некорректным email","DiplomaTeam2 RegressionTest","Tue Aug 19 19:24:56 UTC 2025","passed","Tue Aug 19 19:24:59 UTC 2025","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkEmailField"
"Проверка, что пользователь не может войти в систему с некорректным паролем","3271","Проверка, что пользователь не может войти в систему с некорректным паролем","DiplomaTeam2 RegressionTest","Tue Aug 19 19:25:07 UTC 2025","passed","Tue Aug 19 19:25:10 UTC 2025","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkPasswordField"
"Проверка, что пользователь может купить авто","3921","Проверка, что пользователь может купить авто","DiplomaTeam2 RegressionTest","Tue Aug 19 19:25:58 UTC 2025","broken","Tue Aug 19 19:26:02 UTC 2025","tests.ui.BuyCarTest","UI Tests","tests.ui.BuyCarTest","checkUserWithCar"
"Проверка добавление денег пользователю","3937","Проверка добавление денег пользователю","DiplomaTeam2 RegressionTest","Tue Aug 19 19:25:23 UTC 2025","broken","Tue Aug 19 19:25:27 UTC 2025","tests.ui.AddMoneyUserTest","UI Tests","tests.ui.AddMoneyUserTest","checkAddNewMoneyByUser"
"Проверка, что созданный авто находится в таблице","24786","Проверка, что созданный авто находится в таблице","DiplomaTeam2 RegressionTest","Tue Aug 19 19:30:16 UTC 2025","broken","Tue Aug 19 19:30:41 UTC 2025","tests.ui.CarTest","UI Tests","tests.ui.CarTest","checkIdCarInTable"
"Проверка сообщения, что дом создан","4524","Позитивный тест Проверка сообщения, что дом создан","DiplomaTeam2 RegressionTest","Tue Aug 19 19:28:32 UTC 2025","broken","Tue Aug 19 19:28:37 UTC 2025","tests.ui.HouseTest","UI Tests","tests.ui.HouseTest","createHouse"
"Проверка сообщения, что авто не создан","4354","Негативный тест. Проверка сообщения, что авто не создан","DiplomaTeam2 RegressionTest","Tue Aug 19 19:28:37 UTC 2025","passed","Tue Aug 19 19:28:42 UTC 2025","tests.ui.CarTest","UI Tests","tests.ui.CarTest","createCarNotAllFieldCheck"
"Проверка, что пользователь не может войти в магазин, когда вводит невалидные данные","3303","Проверка, что пользователь не может войти в систему, когда вводит невалидные данные","DiplomaTeam2 RegressionTest","Tue Aug 19 19:25:03 UTC 2025","passed","Tue Aug 19 19:25:06 UTC 2025","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithNegativeValue"
"Проверка, что созданный пользователь находится в таблице","3941","Проверка, что созданный пользователь находится в таблице","DiplomaTeam2 RegressionTest","Tue Aug 19 19:26:32 UTC 2025","broken","Tue Aug 19 19:26:36 UTC 2025","tests.ui.ReadAllUsersTest","UI Tests","tests.ui.ReadAllUsersTest","checkIfUserIsInTable"
"Проверка удаления пользователя код 204 и отсутствие в таблице","3944","Проверка удаления пользователя код 204 и отсутствие в таблице","DiplomaTeam2 RegressionTest","Tue Aug 19 19:25:41 UTC 2025","broken","Tue Aug 19 19:25:45 UTC 2025","tests.ui.AllDeleteUserTest","UI Tests","tests.ui.AllDeleteUserTest","checkStatusCode204"
"Проверка удаления дома","4366","Проверка удаления дома","DiplomaTeam2 RegressionTest","Tue Aug 19 19:32:56 UTC 2025","broken","Tue Aug 19 19:33:00 UTC 2025","tests.ui.HouseTest","UI Tests","tests.ui.HouseTest","deleteHouse"
"Проверка создания пользователя статус кода 201","3896","Проверка создания пользователя статус кода 201","DiplomaTeam2 RegressionTest","Tue Aug 19 19:26:15 UTC 2025","broken","Tue Aug 19 19:26:19 UTC 2025","tests.ui.CreateUserTest","UI Tests","tests.ui.CreateUserTest","checkStatusCode201"
"Проверка удаления авто","24786","Проверка удаления авто","DiplomaTeam2 RegressionTest","Tue Aug 19 19:32:16 UTC 2025","broken","Tue Aug 19 19:32:41 UTC 2025","tests.ui.CarTest","UI Tests","tests.ui.CarTest","deleteCar"
"Проверка сообщения, что дом не создан","4378","Негативный тест. Проверка сообщения, что дом не создан","DiplomaTeam2 RegressionTest","Tue Aug 19 19:28:56 UTC 2025","broken","Tue Aug 19 19:29:01 UTC 2025","tests.ui.HouseTest","UI Tests","tests.ui.HouseTest","createHouseNotAllFieldCheck"
"Проверка, что созданный дом находится в таблице","4373","Проверка, что созданный дом находится в таблице","DiplomaTeam2 RegressionTest","Tue Aug 19 19:30:56 UTC 2025","broken","Tue Aug 19 19:31:00 UTC 2025","tests.ui.HouseTest","UI Tests","tests.ui.HouseTest","checkIdHouseInTable"
