"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка сообщения, что авто не создан","4007","Негативный тест. Проверка сообщения, что авто не создан","DiplomaTeam2 RegressionTest","Wed Aug 20 05:42:08 UTC 2025","failed","Wed Aug 20 05:42:12 UTC 2025","tests.ui.CarTest","UI Tests","tests.ui.CarTest","createCarNotAllFieldCheck"
"Проверка добавление денег пользователю","3428","Проверка добавление денег пользователю","DiplomaTeam2 RegressionTest","Wed Aug 20 05:40:15 UTC 2025","broken","Wed Aug 20 05:40:18 UTC 2025","tests.ui.AddMoneyUserTest","UI Tests","tests.ui.AddMoneyUserTest","checkAddNewMoneyByUser"
"Проверка, что созданный авто находится в таблице","3405","Проверка, что созданный авто находится в таблице","DiplomaTeam2 RegressionTest","Wed Aug 20 05:42:41 UTC 2025","broken","Wed Aug 20 05:42:44 UTC 2025","tests.ui.CarTest","UI Tests","tests.ui.CarTest","checkIdCarInTable"
"Проверка создания пользователя статус кода 201","3980","Проверка создания пользователя статус кода 201","DiplomaTeam2 RegressionTest","Wed Aug 20 05:41:02 UTC 2025","broken","Wed Aug 20 05:41:06 UTC 2025","tests.ui.CreateUserTest","UI Tests","tests.ui.CreateUserTest","checkStatusCode201"
"Проверка создания авто","682","Проверка создания авто","DiplomaTeam2 RegressionTest","Wed Aug 20 05:39:44 UTC 2025","passed","Wed Aug 20 05:39:44 UTC 2025","tests.api.CarTest","API Tests","tests.api.CarTest","createCar"
"Проверка получения авто","666","Проверка получения авто","DiplomaTeam2 RegressionTest","Wed Aug 20 05:39:46 UTC 2025","passed","Wed Aug 20 05:39:47 UTC 2025","tests.api.CarTest","API Tests","tests.api.CarTest","readCar"
"Проверка создания дома","688","Проверка создания дома","DiplomaTeam2 RegressionTest","Wed Aug 20 05:39:45 UTC 2025","passed","Wed Aug 20 05:39:45 UTC 2025","tests.api.HouseTest","API Tests","tests.api.HouseTest","createHouse"
"Проверка удаления пользователя код 204 и отсутствие в таблице","3433","Проверка удаления пользователя код 204 и отсутствие в таблице","DiplomaTeam2 RegressionTest","Wed Aug 20 05:40:30 UTC 2025","broken","Wed Aug 20 05:40:33 UTC 2025","tests.ui.AllDeleteUserTest","UI Tests","tests.ui.AllDeleteUserTest","checkStatusCode204"
"Проверка создания дома","1640","Проверка создания дома","DiplomaTeam2 RegressionTest","Wed Aug 20 05:39:56 UTC 2025","passed","Wed Aug 20 05:39:58 UTC 2025","tests.jdbc.HouseTest","JDBC Tests","tests.jdbc.HouseTest","checkCreateHouseInDateBase"
"Проверка удаления авто","656","Проверка удаления авто","DiplomaTeam2 RegressionTest","Wed Aug 20 05:39:50 UTC 2025","passed","Wed Aug 20 05:39:51 UTC 2025","tests.api.CarTest","API Tests","tests.api.CarTest","deleteCar"
