"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка, что пользователь не может войти в магазин, когда вводит невалидные данные","3261","Проверка, что пользователь не может войти в систему, когда вводит невалидные данные","DiplomaTeam2","Mon Aug 18 20:31:54 UTC 2025","passed","Mon Aug 18 20:31:57 UTC 2025","tests.ui.LoginTest","Chrome","tests.ui.LoginTest","checkLoginWithNegativeValue"
"Проверка создания пользователя статус кода 201","3946","checkStatusCode201","DiplomaTeam2","Mon Aug 18 20:32:00 UTC 2025","broken","Mon Aug 18 20:32:04 UTC 2025","tests.ui.CreateUserTest","Edge","tests.ui.CreateUserTest","checkStatusCode201"
"Проверка, что созданный пользователь находится в таблице","5761","checkIfUserIsInTable","DiplomaTeam2","Mon Aug 18 20:32:17 UTC 2025","broken","Mon Aug 18 20:32:23 UTC 2025","tests.ui.ReadAllUsersTest","Edge","tests.ui.ReadAllUsersTest","checkIfUserIsInTable"
"Проверка сообщения, что дом создан","3889","Позитивный тест Проверка сообщения, что дом создан","DiplomaTeam2","Mon Aug 18 20:34:15 UTC 2025","broken","Mon Aug 18 20:34:18 UTC 2025","tests.ui.HouseTest","Edge","tests.ui.HouseTest","createHouse"
"Проверка удаления дома","4497","Проверка удаления дома","DiplomaTeam2","Mon Aug 18 20:36:34 UTC 2025","broken","Mon Aug 18 20:36:39 UTC 2025","tests.ui.HouseTest","Edge","tests.ui.HouseTest","deleteHouse"
"Проверка удаления пользователя код 204 и отсутствие в таблице","3907","checkStatusCode204","DiplomaTeam2","Mon Aug 18 20:32:31 UTC 2025","broken","Mon Aug 18 20:32:35 UTC 2025","tests.ui.AllDeleteUserTest","Chrome","tests.ui.AllDeleteUserTest","checkStatusCode204"
"Проверка добавление денег пользователю","3875","checkAddNewMoneyByUser","DiplomaTeam2","Mon Aug 18 20:32:14 UTC 2025","broken","Mon Aug 18 20:32:18 UTC 2025","tests.ui.AddMoneyUserTest","Chrome","tests.ui.AddMoneyUserTest","checkAddNewMoneyByUser"
"Проверка сообщения, что дом не создан","3862","Негативный тест. Проверка сообщения, что дом не создан","DiplomaTeam2","Mon Aug 18 20:34:35 UTC 2025","broken","Mon Aug 18 20:34:39 UTC 2025","tests.ui.HouseTest","Edge","tests.ui.HouseTest","createHouseNotAllFieldCheck"
"Проверка, что созданный авто находится в таблице","24792","Проверка, что созданный авто находится в таблице","DiplomaTeam2","Mon Aug 18 20:37:55 UTC 2025","broken","Mon Aug 18 20:38:20 UTC 2025","tests.ui.CarTest","Edge","tests.ui.CarTest","checkIdCarInTable"
"Проверка, что созданный дом находится в таблице","4415","Проверка, что созданный дом находится в таблице","DiplomaTeam2","Mon Aug 18 20:38:34 UTC 2025","broken","Mon Aug 18 20:38:39 UTC 2025","tests.ui.HouseTest","Edge","tests.ui.HouseTest","checkIdHouseInTable"
"Проверка, что пользователь не может войти в систему с некорректным паролем","3301","Проверка, что пользователь не может войти в систему с некорректным паролем","DiplomaTeam2","Mon Aug 18 20:31:57 UTC 2025","passed","Mon Aug 18 20:32:01 UTC 2025","tests.ui.LoginTest","Chrome","tests.ui.LoginTest","checkPasswordField"
"Проверка, что пользователь может купить авто","3932","Проверка, что пользователь может купить авто","DiplomaTeam2","Mon Aug 18 20:32:48 UTC 2025","broken","Mon Aug 18 20:32:52 UTC 2025","tests.ui.BuyCarTest","Chrome","tests.ui.BuyCarTest","checkUserWithCar"
"Проверка сообщения, что авто не создан","3779","Негативный тест. Проверка сообщения, что авто не создан","DiplomaTeam2","Mon Aug 18 20:34:19 UTC 2025","passed","Mon Aug 18 20:34:23 UTC 2025","tests.ui.CarTest","Edge","tests.ui.CarTest","createCarNotAllFieldCheck"
"Проверка, что пользователь не может войти в систему с некорректным email","5042","Проверка, что пользователь не может войти в систему с некорректным email","DiplomaTeam2","Mon Aug 18 20:31:45 UTC 2025","passed","Mon Aug 18 20:31:50 UTC 2025","tests.ui.LoginTest","Chrome","tests.ui.LoginTest","checkEmailField"
"Проверка, что пользователь может войти в систему, когда вводит валидные данные","3255","Проверка, что пользователь может войти в систему, когда вводит валидные данные","DiplomaTeam2","Mon Aug 18 20:31:50 UTC 2025","passed","Mon Aug 18 20:31:53 UTC 2025","tests.ui.LoginTest","Chrome","tests.ui.LoginTest","checkLogin"
"Проверка удаления авто","25054","Проверка удаления авто","DiplomaTeam2","Mon Aug 18 20:35:54 UTC 2025","broken","Mon Aug 18 20:36:19 UTC 2025","tests.ui.CarTest","Edge","tests.ui.CarTest","deleteCar"
"Проверка сообщения, что авто создан","24196","Позитивный тест Проверка сообщения, что авто создан","DiplomaTeam2","Mon Aug 18 20:33:37 UTC 2025","broken","Mon Aug 18 20:34:02 UTC 2025","tests.ui.CarTest","Edge","tests.ui.CarTest","createCar"
