"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Создание пользователя API","857","Проверка создания пользователя","DiplomaTeam2 RegressionTest","Thu Aug 21 06:33:59 UTC 2025","passed","Thu Aug 21 06:33:59 UTC 2025","tests.api.CreateUserTest","API Tests","tests.api.CreateUserTest","createUser"
"Проверка изменения авто дома","863","Проверка изменения дома","DiplomaTeam2 RegressionTest","Thu Aug 21 06:34:07 UTC 2025","passed","Thu Aug 21 06:34:07 UTC 2025","tests.api.HouseTest","API Tests","tests.api.HouseTest","updateHouse"
"Проверка удаления дома","4088","Проверка удаления дома","DiplomaTeam2 RegressionTest","Thu Aug 21 06:41:51 UTC 2025","broken","Thu Aug 21 06:41:55 UTC 2025","tests.ui.HouseTest","UI Tests","tests.ui.HouseTest","deleteHouse"
"Проверка получения дома","868","Проверка получения дома","DiplomaTeam2 RegressionTest","Thu Aug 21 06:34:04 UTC 2025","passed","Thu Aug 21 06:34:05 UTC 2025","tests.api.HouseTest","API Tests","tests.api.HouseTest","readHouse"
"Проверка получения пользователя","400","Проверка получения пользователя","DiplomaTeam2 RegressionTest","Thu Aug 21 06:34:00 UTC 2025","passed","Thu Aug 21 06:34:00 UTC 2025","tests.api.GetUserTest","API Tests","tests.api.GetUserTest","getUser"
"Проверка, что пользователь может войти в систему, когда вводит валидные данные","3446","Проверка, что пользователь может войти в систему, когда вводит валидные данные","DiplomaTeam2 RegressionTest","Thu Aug 21 06:34:00 UTC 2025","passed","Thu Aug 21 06:34:03 UTC 2025","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLogin"
"Проверка, что пользователь не может войти в систему с некорректным паролем","3453","Проверка, что пользователь не может войти в систему с некорректным паролем","DiplomaTeam2 RegressionTest","Thu Aug 21 06:34:08 UTC 2025","passed","Thu Aug 21 06:34:11 UTC 2025","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkPasswordField"
"Проверка сообщения, что авто не создан","4143","Негативный тест. Проверка сообщения, что авто не создан","DiplomaTeam2 RegressionTest","Thu Aug 21 06:37:40 UTC 2025","passed","Thu Aug 21 06:37:44 UTC 2025","tests.ui.CarTest","UI Tests","tests.ui.CarTest","createCarNotAllFieldCheck"
"Проверка, что пользователь не может войти в магазин, когда вводит невалидные данные","3452","Проверка, что пользователь не может войти в систему, когда вводит невалидные данные","DiplomaTeam2 RegressionTest","Thu Aug 21 06:34:04 UTC 2025","passed","Thu Aug 21 06:34:07 UTC 2025","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithNegativeValue"
"Проверка удаления дома","862","Проверка удаления дома","DiplomaTeam2 RegressionTest","Thu Aug 21 06:34:09 UTC 2025","passed","Thu Aug 21 06:34:10 UTC 2025","tests.api.HouseTest","API Tests","tests.api.HouseTest","deleteHouse"
