"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка получения авто","604","Проверка получения авто","DiplomaTeam2 RegressionTest","Wed Aug 20 05:34:09 UTC 2025","passed","Wed Aug 20 05:34:10 UTC 2025","tests.api.CarTest","API Tests","tests.api.CarTest","readCar"
"Проверка пользователя в БД","1492","Проверка записи в БД при создании пользователя","DiplomaTeam2 RegressionTest","Wed Aug 20 05:34:17 UTC 2025","passed","Wed Aug 20 05:34:19 UTC 2025","tests.jdbc.UserTest","JDBC Tests","tests.jdbc.UserTest","checkCreateUserInDateBase"
"Проверка изменения авто дома","636","Проверка изменения дома","DiplomaTeam2 RegressionTest","Wed Aug 20 05:34:12 UTC 2025","passed","Wed Aug 20 05:34:13 UTC 2025","tests.api.HouseTest","API Tests","tests.api.HouseTest","updateHouse"
"Проверка, что пользователь не может войти в систему с некорректным email","2358","Проверка, что пользователь не может войти в систему с некорректным email","DiplomaTeam2 RegressionTest","Wed Aug 20 05:34:04 UTC 2025","passed","Wed Aug 20 05:34:06 UTC 2025","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkEmailField"
"Создание пользователя API","607","Проверка создания пользователя","DiplomaTeam2 RegressionTest","Wed Aug 20 05:34:06 UTC 2025","passed","Wed Aug 20 05:34:06 UTC 2025","tests.api.CreateUserTest","API Tests","tests.api.CreateUserTest","createUser"
"Проверка создания авто","629","Проверка создания авто","DiplomaTeam2 RegressionTest","Wed Aug 20 05:34:07 UTC 2025","passed","Wed Aug 20 05:34:08 UTC 2025","tests.api.CarTest","API Tests","tests.api.CarTest","createCar"
"Проверка создания пользователя статус кода 201","2684","Проверка создания пользователя статус кода 201","DiplomaTeam2 RegressionTest","Wed Aug 20 05:35:01 UTC 2025","broken","Wed Aug 20 05:35:03 UTC 2025","tests.ui.CreateUserTest","UI Tests","tests.ui.CreateUserTest","checkStatusCode201"
"Проверка, что созданный дом находится в таблице","2643","Проверка, что созданный дом находится в таблице","DiplomaTeam2 RegressionTest","Wed Aug 20 05:39:10 UTC 2025","broken","Wed Aug 20 05:39:13 UTC 2025","tests.ui.HouseTest","UI Tests","tests.ui.HouseTest","checkIdHouseInTable"
"Проверка, что пользователь может купить авто","2668","Проверка, что пользователь может купить авто","DiplomaTeam2 RegressionTest","Wed Aug 20 05:34:49 UTC 2025","broken","Wed Aug 20 05:34:51 UTC 2025","tests.ui.BuyCarTest","UI Tests","tests.ui.BuyCarTest","checkUserWithCar"
"Проверка удаления дома","608","Проверка удаления дома","DiplomaTeam2 RegressionTest","Wed Aug 20 05:34:14 UTC 2025","passed","Wed Aug 20 05:34:15 UTC 2025","tests.api.HouseTest","API Tests","tests.api.HouseTest","deleteHouse"
"Проверка, что созданный авто находится в таблице","23123","Проверка, что созданный авто находится в таблице","DiplomaTeam2 RegressionTest","Wed Aug 20 05:38:38 UTC 2025","broken","Wed Aug 20 05:39:01 UTC 2025","tests.ui.CarTest","UI Tests","tests.ui.CarTest","checkIdCarInTable"
"Проверка сообщения, что авто не создан","2630","Негативный тест. Проверка сообщения, что авто не создан","DiplomaTeam2 RegressionTest","Wed Aug 20 05:37:11 UTC 2025","broken","Wed Aug 20 05:37:14 UTC 2025","tests.ui.CarTest","UI Tests","tests.ui.CarTest","createCarNotAllFieldCheck"
"Проверка получения пользователя","280","Проверка получения пользователя","DiplomaTeam2 RegressionTest","Wed Aug 20 05:34:07 UTC 2025","passed","Wed Aug 20 05:34:07 UTC 2025","tests.api.GetUserTest","API Tests","tests.api.GetUserTest","getUser"
"Проверка, что пользователь не может войти в систему с некорректным паролем","2210","Проверка, что пользователь не может войти в систему с некорректным паролем","DiplomaTeam2 RegressionTest","Wed Aug 20 05:34:12 UTC 2025","passed","Wed Aug 20 05:34:14 UTC 2025","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkPasswordField"
"Проверка сообщения, что авто создан","23166","Позитивный тест Проверка сообщения, что авто создан","DiplomaTeam2 RegressionTest","Wed Aug 20 05:36:27 UTC 2025","broken","Wed Aug 20 05:36:50 UTC 2025","tests.ui.CarTest","UI Tests","tests.ui.CarTest","createCar"
"Проверка добавление денег пользователю","2704","Проверка добавление денег пользователю","DiplomaTeam2 RegressionTest","Wed Aug 20 05:34:24 UTC 2025","broken","Wed Aug 20 05:34:27 UTC 2025","tests.ui.AddMoneyUserTest","UI Tests","tests.ui.AddMoneyUserTest","checkAddNewMoneyByUser"
"Проверка удаления авто","2633","Проверка удаления авто","DiplomaTeam2 RegressionTest","Wed Aug 20 05:40:04 UTC 2025","broken","Wed Aug 20 05:40:06 UTC 2025","tests.ui.CarTest","UI Tests","tests.ui.CarTest","deleteCar"
"Проверка, что авто у пользователя удален","23112","Позитивный тест Продажа авто","DiplomaTeam2 RegressionTest","Wed Aug 20 05:41:29 UTC 2025","broken","Wed Aug 20 05:41:52 UTC 2025","tests.ui.CarTest","UI Tests","tests.ui.CarTest","checkSellCarInReadUser"
"Проверка добавления денег пользователю","614","Проверка добавления денег пользователю","DiplomaTeam2 RegressionTest","Wed Aug 20 05:34:05 UTC 2025","passed","Wed Aug 20 05:34:05 UTC 2025","tests.api.AddMoneyUserTest","API Tests","tests.api.AddMoneyUserTest","addMoneyUser"
"Проверка получения дома","627","Проверка получения дома","DiplomaTeam2 RegressionTest","Wed Aug 20 05:34:10 UTC 2025","passed","Wed Aug 20 05:34:11 UTC 2025","tests.api.HouseTest","API Tests","tests.api.HouseTest","readHouse"
"Проверка авто в БД","1680","Проверка создания авто","DiplomaTeam2 RegressionTest","Wed Aug 20 05:34:15 UTC 2025","passed","Wed Aug 20 05:34:17 UTC 2025","tests.jdbc.CarTest","JDBC Tests","tests.jdbc.CarTest","checkCreateCarInDateBase"
"Проверка получения токена для авторизации","374","Проверка получения токена для авторизации","DiplomaTeam2 RegressionTest","Wed Aug 20 05:34:04 UTC 2025","passed","Wed Aug 20 05:34:04 UTC 2025","tests.api.AuthorizationTest","API Tests","tests.api.AuthorizationTest","authorization"
"Проверка, что созданный пользователь находится в таблице","2674","Проверка, что созданный пользователь находится в таблице","DiplomaTeam2 RegressionTest","Wed Aug 20 05:35:13 UTC 2025","broken","Wed Aug 20 05:35:15 UTC 2025","tests.ui.ReadAllUsersTest","UI Tests","tests.ui.ReadAllUsersTest","checkIfUserIsInTable"
"Проверка удаления пользователя код 204 и отсутствие в таблице","2692","Проверка удаления пользователя код 204 и отсутствие в таблице","DiplomaTeam2 RegressionTest","Wed Aug 20 05:34:36 UTC 2025","broken","Wed Aug 20 05:34:39 UTC 2025","tests.ui.AllDeleteUserTest","UI Tests","tests.ui.AllDeleteUserTest","checkStatusCode204"
"Проверка, что пользователь может войти в систему, когда вводит валидные данные","2277","Проверка, что пользователь может войти в систему, когда вводит валидные данные","DiplomaTeam2 RegressionTest","Wed Aug 20 05:34:07 UTC 2025","passed","Wed Aug 20 05:34:09 UTC 2025","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLogin"
"Проверка сообщения, что дом не создан","2674","Негативный тест. Проверка сообщения, что дом не создан","DiplomaTeam2 RegressionTest","Wed Aug 20 05:37:24 UTC 2025","broken","Wed Aug 20 05:37:26 UTC 2025","tests.ui.HouseTest","UI Tests","tests.ui.HouseTest","createHouseNotAllFieldCheck"
"Проверка удаления авто","604","Проверка удаления авто","DiplomaTeam2 RegressionTest","Wed Aug 20 05:34:13 UTC 2025","passed","Wed Aug 20 05:34:14 UTC 2025","tests.api.CarTest","API Tests","tests.api.CarTest","deleteCar"
"Проверка создания дома","646","Проверка создания дома","DiplomaTeam2 RegressionTest","Wed Aug 20 05:34:08 UTC 2025","passed","Wed Aug 20 05:34:09 UTC 2025","tests.api.HouseTest","API Tests","tests.api.HouseTest","createHouse"
"Проверка, что пользователь не может войти в магазин, когда вводит невалидные данные","2311","Проверка, что пользователь не может войти в систему, когда вводит невалидные данные","DiplomaTeam2 RegressionTest","Wed Aug 20 05:34:09 UTC 2025","passed","Wed Aug 20 05:34:12 UTC 2025","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithNegativeValue"
"Проверка удаления дома","2624","Проверка удаления дома","DiplomaTeam2 RegressionTest","Wed Aug 20 05:40:16 UTC 2025","broken","Wed Aug 20 05:40:18 UTC 2025","tests.ui.HouseTest","UI Tests","tests.ui.HouseTest","deleteHouse"
"Проверка изменения авто авто","720","Проверка изменения авто","DiplomaTeam2 RegressionTest","Wed Aug 20 05:34:11 UTC 2025","passed","Wed Aug 20 05:34:12 UTC 2025","tests.api.CarTest","API Tests","tests.api.CarTest","updateCar"
"Проверка создания дома","1478","Проверка создания дома","DiplomaTeam2 RegressionTest","Wed Aug 20 05:34:19 UTC 2025","passed","Wed Aug 20 05:34:21 UTC 2025","tests.jdbc.HouseTest","JDBC Tests","tests.jdbc.HouseTest","checkCreateHouseInDateBase"
"Проверка сообщения, что дом создан","2643","Позитивный тест Проверка сообщения, что дом создан","DiplomaTeam2 RegressionTest","Wed Aug 20 05:36:59 UTC 2025","broken","Wed Aug 20 05:37:02 UTC 2025","tests.ui.HouseTest","UI Tests","tests.ui.HouseTest","createHouse"
