"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка удаления дома","621","Проверка удаления дома","DiplomaTeam2 RegressionTest","Tue Aug 19 19:44:54 UTC 2025","passed","Tue Aug 19 19:44:55 UTC 2025","tests.api.HouseTest","API Tests","tests.api.HouseTest","deleteHouse"
"Проверка удаления авто","23301","Проверка удаления авто","DiplomaTeam2 RegressionTest","Tue Aug 19 19:50:06 UTC 2025","broken","Tue Aug 19 19:50:29 UTC 2025","tests.ui.CarTest","UI Tests","tests.ui.CarTest","deleteCar"
"Проверка авто в БД","1754","Проверка создания авто","DiplomaTeam2 RegressionTest","Tue Aug 19 19:44:55 UTC 2025","passed","Tue Aug 19 19:44:57 UTC 2025","tests.jdbc.CarTest","JDBC Tests","tests.jdbc.CarTest","checkCreateCarInDateBase"
"Проверка, что пользователь не может войти в систему с некорректным паролем","2248","Проверка, что пользователь не может войти в систему с некорректным паролем","DiplomaTeam2 RegressionTest","Tue Aug 19 19:44:52 UTC 2025","passed","Tue Aug 19 19:44:54 UTC 2025","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkPasswordField"
"Проверка сообщения, что авто создан","23241","Позитивный тест Проверка сообщения, что авто создан","DiplomaTeam2 RegressionTest","Tue Aug 19 19:46:49 UTC 2025","broken","Tue Aug 19 19:47:12 UTC 2025","tests.ui.CarTest","UI Tests","tests.ui.CarTest","createCar"
"Проверка, что пользователь не может войти в систему с некорректным email","2412","Проверка, что пользователь не может войти в систему с некорректным email","DiplomaTeam2 RegressionTest","Tue Aug 19 19:44:44 UTC 2025","passed","Tue Aug 19 19:44:46 UTC 2025","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkEmailField"
"Проверка добавления денег пользователю","634","Проверка добавления денег пользователю","DiplomaTeam2 RegressionTest","Tue Aug 19 19:44:45 UTC 2025","passed","Tue Aug 19 19:44:45 UTC 2025","tests.api.AddMoneyUserTest","API Tests","tests.api.AddMoneyUserTest","addMoneyUser"
"Проверка пользователя в БД","1512","Проверка записи в БД при создании пользователя","DiplomaTeam2 RegressionTest","Tue Aug 19 19:44:57 UTC 2025","passed","Tue Aug 19 19:44:59 UTC 2025","tests.jdbc.UserTest","JDBC Tests","tests.jdbc.UserTest","checkCreateUserInDateBase"
"Проверка, что созданный пользователь находится в таблице","2763","Проверка, что созданный пользователь находится в таблице","DiplomaTeam2 RegressionTest","Tue Aug 19 19:45:55 UTC 2025","broken","Tue Aug 19 19:45:57 UTC 2025","tests.ui.ReadAllUsersTest","UI Tests","tests.ui.ReadAllUsersTest","checkIfUserIsInTable"
"Проверка, что пользователь может купить авто","2739","Проверка, что пользователь может купить авто","DiplomaTeam2 RegressionTest","Tue Aug 19 19:45:30 UTC 2025","broken","Tue Aug 19 19:45:32 UTC 2025","tests.ui.BuyCarTest","UI Tests","tests.ui.BuyCarTest","checkUserWithCar"
