"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка создания дома","700","Проверка создания дома","Surefire suite","Mon Aug 18 18:00:43 UTC 2025","passed","Mon Aug 18 18:00:43 UTC 2025","tests.api.HouseTest","Surefire test","tests.api.HouseTest","createHouse"
"Проверка получения дома","676","Проверка получения дома","Surefire suite","Mon Aug 18 18:00:44 UTC 2025","passed","Mon Aug 18 18:00:45 UTC 2025","tests.api.HouseTest","Surefire test","tests.api.HouseTest","readHouse"
"Проверка создания авто","682","Проверка создания авто","Surefire suite","Mon Aug 18 18:00:47 UTC 2025","passed","Mon Aug 18 18:00:48 UTC 2025","tests.api.CarTest","Surefire test","tests.api.CarTest","createCar"
"Проверка удаления авто","653","Проверка удаления авто","Surefire suite","Mon Aug 18 18:00:50 UTC 2025","passed","Mon Aug 18 18:00:51 UTC 2025","tests.api.CarTest","Surefire test","tests.api.CarTest","deleteCar"
"Проверка, что пользователь не может войти в магазин, когда вводит невалидные данные","2374","Проверка, что пользователь не может войти в систему, когда вводит невалидные данные","Surefire suite","Mon Aug 18 18:01:08 UTC 2025","passed","Mon Aug 18 18:01:10 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkLoginWithNegativeValue"
"Создание пользователя API","669","createUser","Surefire suite","Mon Aug 18 18:00:45 UTC 2025","passed","Mon Aug 18 18:00:46 UTC 2025","tests.api.CreateUserTest","Surefire test","tests.api.CreateUserTest","createUser"
"Проверка, что пользователь не может войти в систему с некорректным паролем","2369","Проверка, что пользователь не может войти в систему с некорректным паролем","Surefire suite","Mon Aug 18 18:01:10 UTC 2025","passed","Mon Aug 18 18:01:13 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkPasswordField"
"Проверка добавления денег пользователю","680","addMoneyUser","Surefire suite","Mon Aug 18 18:00:42 UTC 2025","passed","Mon Aug 18 18:00:42 UTC 2025","tests.api.AddMoneyUserTest","Surefire test","tests.api.AddMoneyUserTest","addMoneyUser"
"Проверка сообщения, что дом не создан","2894","Негативный тест. Проверка сообщения, что дом не создан","Surefire suite","Mon Aug 18 18:01:18 UTC 2025","broken","Mon Aug 18 18:01:20 UTC 2025","tests.ui.HouseTest","Surefire test","tests.ui.HouseTest","createHouseNotAllFieldCheck"
"Проверка удаления пользователя код 204 и отсутствие в таблице","2896","checkStatusCode204","Surefire suite","Mon Aug 18 18:01:32 UTC 2025","broken","Mon Aug 18 18:01:35 UTC 2025","tests.ui.AllDeleteUserTest","Surefire test","tests.ui.AllDeleteUserTest","checkStatusCode204"
"Проверка, что созданный авто находится в таблице","2882","Проверка, что созданный авто находится в таблице","Surefire suite","Mon Aug 18 18:02:08 UTC 2025","broken","Mon Aug 18 18:02:11 UTC 2025","tests.ui.CarTest","Surefire test","tests.ui.CarTest","checkIdCarInTable"
"Проверка, что созданный дом находится в таблице","2877","Проверка, что созданный дом находится в таблице","Surefire suite","Mon Aug 18 18:01:25 UTC 2025","broken","Mon Aug 18 18:01:28 UTC 2025","tests.ui.HouseTest","Surefire test","tests.ui.HouseTest","checkIdHouseInTable"
"Проверка сообщения, что авто не создан","2883","Негативный тест. Проверка сообщения, что авто не создан","Surefire suite","Mon Aug 18 18:02:02 UTC 2025","broken","Mon Aug 18 18:02:05 UTC 2025","tests.ui.CarTest","Surefire test","tests.ui.CarTest","createCarNotAllFieldCheck"
"Проверка создания пользователя статус кода 201","2886","checkStatusCode201","Surefire suite","Mon Aug 18 18:01:35 UTC 2025","broken","Mon Aug 18 18:01:38 UTC 2025","tests.ui.CreateUserTest","Surefire test","tests.ui.CreateUserTest","checkStatusCode201"
"Проверка получения токена для авторизации","380","Проверка получения токена для авторизации","Surefire suite","Mon Aug 18 18:00:46 UTC 2025","passed","Mon Aug 18 18:00:47 UTC 2025","tests.api.AuthorizationTest","Surefire test","tests.api.AuthorizationTest","authorization"
"Проверка, что пользователь не может войти в систему с некорректным email","1865","Проверка, что пользователь не может войти в систему с некорректным email","Surefire suite","Mon Aug 18 18:01:03 UTC 2025","passed","Mon Aug 18 18:01:05 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkEmailField"
"Проверка, что пользователь может купить авто","2912","Проверка, что пользователь может купить авто","Surefire suite","Mon Aug 18 18:02:12 UTC 2025","broken","Mon Aug 18 18:02:15 UTC 2025","tests.ui.BuyCarTest","Surefire test","tests.ui.BuyCarTest","checkUserWithCar"
"Проверка авто в БД","1627","Проверка создания авто","Surefire suite","Mon Aug 18 18:00:55 UTC 2025","passed","Mon Aug 18 18:00:57 UTC 2025","tests.jdbc.CarTest","Surefire test","tests.jdbc.CarTest","checkCreateCarInDateBase"
"Проверка сообщения, что авто создан","23063","Позитивный тест Проверка сообщения, что авто создан","Surefire suite","Mon Aug 18 18:01:38 UTC 2025","broken","Mon Aug 18 18:02:01 UTC 2025","tests.ui.CarTest","Surefire test","tests.ui.CarTest","createCar"
"Проверка сообщения, что дом создан","3996","Позитивный тест Проверка сообщения, что дом создан","Surefire suite","Mon Aug 18 18:01:13 UTC 2025","broken","Mon Aug 18 18:01:17 UTC 2025","tests.ui.HouseTest","Surefire test","tests.ui.HouseTest","createHouse"
"Проверка удаления дома","4026","Проверка удаления дома","Surefire suite","Mon Aug 18 18:01:21 UTC 2025","broken","Mon Aug 18 18:01:25 UTC 2025","tests.ui.HouseTest","Surefire test","tests.ui.HouseTest","deleteHouse"
"Проверка добавление денег пользователю","4876","checkAddNewMoneyByUser","Surefire suite","Mon Aug 18 18:00:57 UTC 2025","broken","Mon Aug 18 18:01:02 UTC 2025","tests.ui.AddMoneyUserTest","Surefire test","tests.ui.AddMoneyUserTest","checkAddNewMoneyByUser"
"Проверка создания дома","1817","Проверка создания дома","Surefire suite","Mon Aug 18 18:00:51 UTC 2025","passed","Mon Aug 18 18:00:53 UTC 2025","tests.jdbc.HouseTest","Surefire test","tests.jdbc.HouseTest","checkCreateHouseInDateBase"
"Проверка удаления авто","2885","Проверка удаления авто","Surefire suite","Mon Aug 18 18:02:05 UTC 2025","broken","Mon Aug 18 18:02:08 UTC 2025","tests.ui.CarTest","Surefire test","tests.ui.CarTest","deleteCar"
"Проверка изменения авто авто","750","Проверка изменения авто авто","Surefire suite","Mon Aug 18 18:00:49 UTC 2025","passed","Mon Aug 18 18:00:50 UTC 2025","tests.api.CarTest","Surefire test","tests.api.CarTest","updateCar"
"Проверка, что пользователь может войти в систему, когда вводит валидные данные","2360","Проверка, что пользователь может войти в систему, когда вводит валидные данные","Surefire suite","Mon Aug 18 18:01:05 UTC 2025","passed","Mon Aug 18 18:01:07 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkLogin"
"Проверка получения пользователя","289","getUser","Surefire suite","Mon Aug 18 18:00:45 UTC 2025","passed","Mon Aug 18 18:00:45 UTC 2025","tests.api.GetUserTest","Surefire test","tests.api.GetUserTest","getUser"
"Проверка пользователя в БД","1655","Проверка записи в БД при создании пользователя","Surefire suite","Mon Aug 18 18:00:53 UTC 2025","passed","Mon Aug 18 18:00:55 UTC 2025","tests.jdbc.UserTest","Surefire test","tests.jdbc.UserTest","checkCreateUserInDateBase"
"Проверка, что созданный пользователь находится в таблице","2951","checkIfUserIsInTable","Surefire suite","Mon Aug 18 18:01:28 UTC 2025","broken","Mon Aug 18 18:01:31 UTC 2025","tests.ui.ReadAllUsersTest","Surefire test","tests.ui.ReadAllUsersTest","checkIfUserIsInTable"
"Проверка получения авто","679","Проверка получения авто","Surefire suite","Mon Aug 18 18:00:48 UTC 2025","passed","Mon Aug 18 18:00:49 UTC 2025","tests.api.CarTest","Surefire test","tests.api.CarTest","readCar"
