"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка получения авто","582","Проверка получения авто","DiplomaTeam2 RegressionTest","Tue Aug 19 07:52:56 UTC 2025","passed","Tue Aug 19 07:52:56 UTC 2025","tests.api.CarTest","API Tests","tests.api.CarTest","readCar"
"Создание пользователя API","586","createUser","DiplomaTeam2 RegressionTest","Tue Aug 19 07:52:52 UTC 2025","passed","Tue Aug 19 07:52:53 UTC 2025","tests.api.CreateUserTest","API Tests","tests.api.CreateUserTest","createUser"
"Проверка, что созданный дом находится в таблице","2986","Проверка, что созданный дом находится в таблице","DiplomaTeam2 RegressionTest","Tue Aug 19 07:59:18 UTC 2025","broken","Tue Aug 19 07:59:21 UTC 2025","tests.ui.HouseTest","UI Tests","tests.ui.HouseTest","checkIdHouseInTable"
"Проверка, что пользователь не может войти в магазин, когда вводит невалидные данные","2306","Проверка, что пользователь не может войти в систему, когда вводит невалидные данные","DiplomaTeam2 RegressionTest","Tue Aug 19 07:52:56 UTC 2025","passed","Tue Aug 19 07:52:58 UTC 2025","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithNegativeValue"
"Проверка, что пользователь может купить авто","2729","Проверка, что пользователь может купить авто","DiplomaTeam2 RegressionTest","Tue Aug 19 07:53:35 UTC 2025","broken","Tue Aug 19 07:53:38 UTC 2025","tests.ui.BuyCarTest","UI Tests","tests.ui.BuyCarTest","checkUserWithCar"
"Проверка удаления авто","593","Проверка удаления авто","DiplomaTeam2 RegressionTest","Tue Aug 19 07:52:59 UTC 2025","passed","Tue Aug 19 07:52:59 UTC 2025","tests.api.CarTest","API Tests","tests.api.CarTest","deleteCar"
"Проверка, что созданный авто находится в таблице","23496","Проверка, что созданный авто находится в таблице","DiplomaTeam2 RegressionTest","Tue Aug 19 07:58:44 UTC 2025","broken","Tue Aug 19 07:59:07 UTC 2025","tests.ui.CarTest","UI Tests","tests.ui.CarTest","checkIdCarInTable"
"Проверка авто в БД","1455","Проверка создания авто","DiplomaTeam2 RegressionTest","Tue Aug 19 07:53:02 UTC 2025","passed","Tue Aug 19 07:53:03 UTC 2025","tests.jdbc.CarTest","JDBC Tests","tests.jdbc.CarTest","checkCreateCarInDateBase"
"Проверка создания пользователя статус кода 201","2681","checkStatusCode201","DiplomaTeam2 RegressionTest","Tue Aug 19 07:53:50 UTC 2025","broken","Tue Aug 19 07:53:52 UTC 2025","tests.ui.CreateUserTest","UI Tests","tests.ui.CreateUserTest","checkStatusCode201"
"Проверка создания авто","616","Проверка создания авто","DiplomaTeam2 RegressionTest","Tue Aug 19 07:52:53 UTC 2025","passed","Tue Aug 19 07:52:54 UTC 2025","tests.api.CarTest","API Tests","tests.api.CarTest","createCar"
"Проверка создания дома","627","Проверка создания дома","DiplomaTeam2 RegressionTest","Tue Aug 19 07:52:54 UTC 2025","passed","Tue Aug 19 07:52:55 UTC 2025","tests.api.HouseTest","API Tests","tests.api.HouseTest","createHouse"
"Проверка получения дома","604","Проверка получения дома","DiplomaTeam2 RegressionTest","Tue Aug 19 07:52:56 UTC 2025","passed","Tue Aug 19 07:52:57 UTC 2025","tests.api.HouseTest","API Tests","tests.api.HouseTest","readHouse"
"Проверка удаления дома","3011","Проверка удаления дома","DiplomaTeam2 RegressionTest","Tue Aug 19 07:57:49 UTC 2025","broken","Tue Aug 19 07:57:52 UTC 2025","tests.ui.HouseTest","UI Tests","tests.ui.HouseTest","deleteHouse"
"Проверка получения пользователя","274","getUser","DiplomaTeam2 RegressionTest","Tue Aug 19 07:52:53 UTC 2025","passed","Tue Aug 19 07:52:53 UTC 2025","tests.api.GetUserTest","API Tests","tests.api.GetUserTest","getUser"
"Проверка сообщения, что дом не создан","3160","Негативный тест. Проверка сообщения, что дом не создан","DiplomaTeam2 RegressionTest","Tue Aug 19 07:55:59 UTC 2025","broken","Tue Aug 19 07:56:03 UTC 2025","tests.ui.HouseTest","UI Tests","tests.ui.HouseTest","createHouseNotAllFieldCheck"
"Проверка удаления авто","23615","Проверка удаления авто","DiplomaTeam2 RegressionTest","Tue Aug 19 07:57:15 UTC 2025","broken","Tue Aug 19 07:57:39 UTC 2025","tests.ui.CarTest","UI Tests","tests.ui.CarTest","deleteCar"
"Проверка удаления пользователя код 204 и отсутствие в таблице","2736","checkStatusCode204","DiplomaTeam2 RegressionTest","Tue Aug 19 07:53:23 UTC 2025","broken","Tue Aug 19 07:53:26 UTC 2025","tests.ui.AllDeleteUserTest","UI Tests","tests.ui.AllDeleteUserTest","checkStatusCode204"
"Проверка, что авто у пользователя удален","24006","Позитивный тест Продажа авто","DiplomaTeam2 RegressionTest","Tue Aug 19 08:00:33 UTC 2025","broken","Tue Aug 19 08:00:57 UTC 2025","tests.ui.CarTest","UI Tests","tests.ui.CarTest","checkSellCarInReadUser"
"Проверка добавление денег пользователю","2670","checkAddNewMoneyByUser","DiplomaTeam2 RegressionTest","Tue Aug 19 07:53:11 UTC 2025","broken","Tue Aug 19 07:53:13 UTC 2025","tests.ui.AddMoneyUserTest","UI Tests","tests.ui.AddMoneyUserTest","checkAddNewMoneyByUser"
"Проверка создания дома","1461","Проверка создания дома","DiplomaTeam2 RegressionTest","Tue Aug 19 07:53:04 UTC 2025","passed","Tue Aug 19 07:53:05 UTC 2025","tests.jdbc.HouseTest","JDBC Tests","tests.jdbc.HouseTest","checkCreateHouseInDateBase"
"Проверка сообщения, что авто создан","23159","Позитивный тест Проверка сообщения, что авто создан","DiplomaTeam2 RegressionTest","Tue Aug 19 07:54:57 UTC 2025","broken","Tue Aug 19 07:55:20 UTC 2025","tests.ui.CarTest","UI Tests","tests.ui.CarTest","createCar"
"Проверка, что пользователь может войти в систему, когда вводит валидные данные","2280","Проверка, что пользователь может войти в систему, когда вводит валидные данные","DiplomaTeam2 RegressionTest","Tue Aug 19 07:52:53 UTC 2025","passed","Tue Aug 19 07:52:55 UTC 2025","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLogin"
"Проверка сообщения, что дом создан","2631","Позитивный тест Проверка сообщения, что дом создан","DiplomaTeam2 RegressionTest","Tue Aug 19 07:55:29 UTC 2025","broken","Tue Aug 19 07:55:32 UTC 2025","tests.ui.HouseTest","UI Tests","tests.ui.HouseTest","createHouse"
"Проверка изменения авто авто","665","Проверка изменения авто","DiplomaTeam2 RegressionTest","Tue Aug 19 07:52:57 UTC 2025","passed","Tue Aug 19 07:52:58 UTC 2025","tests.api.CarTest","API Tests","tests.api.CarTest","updateCar"
"Проверка добавления денег пользователю","613","addMoneyUser","DiplomaTeam2 RegressionTest","Tue Aug 19 07:52:51 UTC 2025","passed","Tue Aug 19 07:52:52 UTC 2025","tests.api.AddMoneyUserTest","API Tests","tests.api.AddMoneyUserTest","addMoneyUser"
"Проверка сообщения, что авто не создан","3359","Негативный тест. Проверка сообщения, что авто не создан","DiplomaTeam2 RegressionTest","Tue Aug 19 07:55:45 UTC 2025","broken","Tue Aug 19 07:55:48 UTC 2025","tests.ui.CarTest","UI Tests","tests.ui.CarTest","createCarNotAllFieldCheck"
"Проверка пользователя в БД","1719","Проверка записи в БД при создании пользователя","DiplomaTeam2 RegressionTest","Tue Aug 19 07:53:00 UTC 2025","passed","Tue Aug 19 07:53:01 UTC 2025","tests.jdbc.UserTest","JDBC Tests","tests.jdbc.UserTest","checkCreateUserInDateBase"
"Проверка получения токена для авторизации","361","Проверка получения токена для авторизации","DiplomaTeam2 RegressionTest","Tue Aug 19 07:52:50 UTC 2025","passed","Tue Aug 19 07:52:51 UTC 2025","tests.api.AuthorizationTest","API Tests","tests.api.AuthorizationTest","authorization"
"Проверка, что пользователь не может войти в систему с некорректным email","2268","Проверка, что пользователь не может войти в систему с некорректным email","DiplomaTeam2 RegressionTest","Tue Aug 19 07:52:50 UTC 2025","passed","Tue Aug 19 07:52:53 UTC 2025","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkEmailField"
"Проверка, что созданный пользователь находится в таблице","2681","checkIfUserIsInTable","DiplomaTeam2 RegressionTest","Tue Aug 19 07:54:02 UTC 2025","broken","Tue Aug 19 07:54:04 UTC 2025","tests.ui.ReadAllUsersTest","UI Tests","tests.ui.ReadAllUsersTest","checkIfUserIsInTable"
"Проверка, что пользователь не может войти в систему с некорректным паролем","2253","Проверка, что пользователь не может войти в систему с некорректным паролем","DiplomaTeam2 RegressionTest","Tue Aug 19 07:52:59 UTC 2025","passed","Tue Aug 19 07:53:01 UTC 2025","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkPasswordField"
