"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка получения авто","864","Проверка получения авто","DiplomaTeam2 RegressionTest","Tue Aug 19 16:04:55 UTC 2025","passed","Tue Aug 19 16:04:56 UTC 2025","tests.api.CarTest","API Tests","tests.api.CarTest","readCar"
"Проверка пользователя в БД","2342","Проверка записи в БД при создании пользователя","DiplomaTeam2 RegressionTest","Tue Aug 19 16:05:03 UTC 2025","passed","Tue Aug 19 16:05:05 UTC 2025","tests.jdbc.UserTest","JDBC Tests","tests.jdbc.UserTest","checkCreateUserInDateBase"
"Проверка, что созданный дом находится в таблице","4058","Проверка, что созданный дом находится в таблице","DiplomaTeam2 RegressionTest","Tue Aug 19 16:12:40 UTC 2025","broken","Tue Aug 19 16:12:44 UTC 2025","tests.ui.HouseTest","UI Tests","tests.ui.HouseTest","checkIdHouseInTable"
"Проверка создания пользователя статус кода 201","4062","checkStatusCode201","DiplomaTeam2 RegressionTest","Tue Aug 19 16:06:10 UTC 2025","broken","Tue Aug 19 16:06:14 UTC 2025","tests.ui.CreateUserTest","UI Tests","tests.ui.CreateUserTest","checkStatusCode201"
"Проверка создания дома","909","Проверка создания дома","DiplomaTeam2 RegressionTest","Tue Aug 19 16:04:54 UTC 2025","passed","Tue Aug 19 16:04:55 UTC 2025","tests.api.HouseTest","API Tests","tests.api.HouseTest","createHouse"
"Проверка сообщения, что авто создан","24402","Позитивный тест Проверка сообщения, что авто создан","DiplomaTeam2 RegressionTest","Tue Aug 19 16:07:47 UTC 2025","broken","Tue Aug 19 16:08:11 UTC 2025","tests.ui.CarTest","UI Tests","tests.ui.CarTest","createCar"
"Проверка изменения авто дома","868","Проверка изменения дома","DiplomaTeam2 RegressionTest","Tue Aug 19 16:04:59 UTC 2025","passed","Tue Aug 19 16:05:00 UTC 2025","tests.api.HouseTest","API Tests","tests.api.HouseTest","updateHouse"
"Проверка создания дома","2162","Проверка создания дома","DiplomaTeam2 RegressionTest","Tue Aug 19 16:05:08 UTC 2025","passed","Tue Aug 19 16:05:10 UTC 2025","tests.jdbc.HouseTest","JDBC Tests","tests.jdbc.HouseTest","checkCreateHouseInDateBase"
"Создание пользователя API","865","createUser","DiplomaTeam2 RegressionTest","Tue Aug 19 16:04:51 UTC 2025","passed","Tue Aug 19 16:04:52 UTC 2025","tests.api.CreateUserTest","API Tests","tests.api.CreateUserTest","createUser"
"Проверка удаления дома","4065","Проверка удаления дома","DiplomaTeam2 RegressionTest","Tue Aug 19 16:10:44 UTC 2025","broken","Tue Aug 19 16:10:48 UTC 2025","tests.ui.HouseTest","UI Tests","tests.ui.HouseTest","deleteHouse"
"Проверка, что авто у пользователя удален","24402","Позитивный тест Продажа авто","DiplomaTeam2 RegressionTest","Tue Aug 19 16:13:59 UTC 2025","broken","Tue Aug 19 16:14:23 UTC 2025","tests.ui.CarTest","UI Tests","tests.ui.CarTest","checkSellCarInReadUser"
"Проверка добавления денег пользователю","876","addMoneyUser","DiplomaTeam2 RegressionTest","Tue Aug 19 16:04:50 UTC 2025","passed","Tue Aug 19 16:04:51 UTC 2025","tests.api.AddMoneyUserTest","API Tests","tests.api.AddMoneyUserTest","addMoneyUser"
"Проверка, что созданный пользователь находится в таблице","4083","checkIfUserIsInTable","DiplomaTeam2 RegressionTest","Tue Aug 19 16:06:28 UTC 2025","broken","Tue Aug 19 16:06:32 UTC 2025","tests.ui.ReadAllUsersTest","UI Tests","tests.ui.ReadAllUsersTest","checkIfUserIsInTable"
"Проверка, что пользователь может купить авто","4070","Проверка, что пользователь может купить авто","DiplomaTeam2 RegressionTest","Tue Aug 19 16:05:53 UTC 2025","broken","Tue Aug 19 16:05:57 UTC 2025","tests.ui.BuyCarTest","UI Tests","tests.ui.BuyCarTest","checkUserWithCar"
"Проверка удаления авто","24396","Проверка удаления авто","DiplomaTeam2 RegressionTest","Tue Aug 19 16:10:06 UTC 2025","broken","Tue Aug 19 16:10:30 UTC 2025","tests.ui.CarTest","UI Tests","tests.ui.CarTest","deleteCar"
"Проверка, что пользователь не может войти в систему с некорректным email","2546","Проверка, что пользователь не может войти в систему с некорректным email","DiplomaTeam2 RegressionTest","Tue Aug 19 16:04:49 UTC 2025","passed","Tue Aug 19 16:04:51 UTC 2025","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkEmailField"
"Проверка удаления дома","864","Проверка удаления дома","DiplomaTeam2 RegressionTest","Tue Aug 19 16:05:01 UTC 2025","passed","Tue Aug 19 16:05:02 UTC 2025","tests.api.HouseTest","API Tests","tests.api.HouseTest","deleteHouse"
"Проверка получения пользователя","398","getUser","DiplomaTeam2 RegressionTest","Tue Aug 19 16:04:52 UTC 2025","passed","Tue Aug 19 16:04:52 UTC 2025","tests.api.GetUserTest","API Tests","tests.api.GetUserTest","getUser"
"Проверка изменения авто авто","929","Проверка изменения авто","DiplomaTeam2 RegressionTest","Tue Aug 19 16:04:58 UTC 2025","passed","Tue Aug 19 16:04:59 UTC 2025","tests.api.CarTest","API Tests","tests.api.CarTest","updateCar"
