"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка, что созданный авто находится в таблице","2669","Проверка, что созданный авто находится в таблице","DiplomaTeam2 RegressionTest","Tue Aug 19 07:00:35 UTC 2025","broken","Tue Aug 19 07:00:38 UTC 2025","tests.ui.CarTest","UI Tests","tests.ui.CarTest","checkIdCarInTable"
"Проверка удаления авто","603","Проверка удаления авто","DiplomaTeam2 RegressionTest","Tue Aug 19 06:56:14 UTC 2025","passed","Tue Aug 19 06:56:14 UTC 2025","tests.api.CarTest","API Tests","tests.api.CarTest","deleteCar"
"Проверка получения дома","618","Проверка получения дома","DiplomaTeam2 RegressionTest","Tue Aug 19 06:56:11 UTC 2025","passed","Tue Aug 19 06:56:11 UTC 2025","tests.api.HouseTest","API Tests","tests.api.HouseTest","readHouse"
"Проверка добавление денег пользователю","2705","checkAddNewMoneyByUser","DiplomaTeam2 RegressionTest","Tue Aug 19 06:56:27 UTC 2025","broken","Tue Aug 19 06:56:29 UTC 2025","tests.ui.AddMoneyUserTest","UI Tests","tests.ui.AddMoneyUserTest","checkAddNewMoneyByUser"
"Создание пользователя API","613","createUser","DiplomaTeam2 RegressionTest","Tue Aug 19 06:56:07 UTC 2025","passed","Tue Aug 19 06:56:07 UTC 2025","tests.api.CreateUserTest","API Tests","tests.api.CreateUserTest","createUser"
"Проверка, что пользователь не может войти в систему с некорректным паролем","3887","Проверка, что пользователь не может войти в систему с некорректным паролем","DiplomaTeam2 RegressionTest","Tue Aug 19 06:56:13 UTC 2025","passed","Tue Aug 19 06:56:17 UTC 2025","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkPasswordField"
"Проверка, что созданный дом находится в таблице","2648","Проверка, что созданный дом находится в таблице","DiplomaTeam2 RegressionTest","Tue Aug 19 07:00:49 UTC 2025","broken","Tue Aug 19 07:00:52 UTC 2025","tests.ui.HouseTest","UI Tests","tests.ui.HouseTest","checkIdHouseInTable"
"Проверка получения авто","601","Проверка получения авто","DiplomaTeam2 RegressionTest","Tue Aug 19 06:56:10 UTC 2025","passed","Tue Aug 19 06:56:10 UTC 2025","tests.api.CarTest","API Tests","tests.api.CarTest","readCar"
"Проверка создания дома","1476","Проверка создания дома","DiplomaTeam2 RegressionTest","Tue Aug 19 06:56:20 UTC 2025","passed","Tue Aug 19 06:56:21 UTC 2025","tests.jdbc.HouseTest","JDBC Tests","tests.jdbc.HouseTest","checkCreateHouseInDateBase"
"Проверка получения пользователя","273","getUser","DiplomaTeam2 RegressionTest","Tue Aug 19 06:56:07 UTC 2025","passed","Tue Aug 19 06:56:07 UTC 2025","tests.api.GetUserTest","API Tests","tests.api.GetUserTest","getUser"
