"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка, что пользователь может войти в систему, когда вводит валидные данные","2297","Проверка, что пользователь может войти в систему, когда вводит валидные данные","DiplomaTeam2 RegressionTest","Tue Aug 19 18:11:39 UTC 2025","passed","Tue Aug 19 18:11:41 UTC 2025","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLogin"
"Проверка создания дома","1483","Проверка создания дома","DiplomaTeam2 RegressionTest","Tue Aug 19 18:11:52 UTC 2025","passed","Tue Aug 19 18:11:53 UTC 2025","tests.jdbc.HouseTest","JDBC Tests","tests.jdbc.HouseTest","checkCreateHouseInDateBase"
"Проверка сообщения, что дом не создан","3662","Негативный тест. Проверка сообщения, что дом не создан","DiplomaTeam2 RegressionTest","Tue Aug 19 18:15:12 UTC 2025","broken","Tue Aug 19 18:15:16 UTC 2025","tests.ui.HouseTest","UI Tests","tests.ui.HouseTest","createHouseNotAllFieldCheck"
"Проверка авто в БД","1494","Проверка создания авто","DiplomaTeam2 RegressionTest","Tue Aug 19 18:11:50 UTC 2025","passed","Tue Aug 19 18:11:51 UTC 2025","tests.jdbc.CarTest","JDBC Tests","tests.jdbc.CarTest","checkCreateCarInDateBase"
"Проверка удаления пользователя код 204 и отсутствие в таблице","4257","checkStatusCode204","DiplomaTeam2 RegressionTest","Tue Aug 19 18:12:16 UTC 2025","broken","Tue Aug 19 18:12:21 UTC 2025","tests.ui.AllDeleteUserTest","UI Tests","tests.ui.AllDeleteUserTest","checkStatusCode204"
"Проверка пользователя в БД","1710","Проверка записи в БД при создании пользователя","DiplomaTeam2 RegressionTest","Tue Aug 19 18:11:48 UTC 2025","passed","Tue Aug 19 18:11:49 UTC 2025","tests.jdbc.UserTest","JDBC Tests","tests.jdbc.UserTest","checkCreateUserInDateBase"
"Проверка, что созданный дом находится в таблице","2671","Проверка, что созданный дом находится в таблице","DiplomaTeam2 RegressionTest","Tue Aug 19 18:18:47 UTC 2025","broken","Tue Aug 19 18:18:50 UTC 2025","tests.ui.HouseTest","UI Tests","tests.ui.HouseTest","checkIdHouseInTable"
"Проверка изменения авто авто","708","Проверка изменения авто","DiplomaTeam2 RegressionTest","Tue Aug 19 18:11:43 UTC 2025","passed","Tue Aug 19 18:11:44 UTC 2025","tests.api.CarTest","API Tests","tests.api.CarTest","updateCar"
"Проверка изменения авто дома","625","Проверка изменения дома","DiplomaTeam2 RegressionTest","Tue Aug 19 18:11:45 UTC 2025","passed","Tue Aug 19 18:11:45 UTC 2025","tests.api.HouseTest","API Tests","tests.api.HouseTest","updateHouse"
"Проверка, что пользователь не может войти в магазин, когда вводит невалидные данные","2305","Проверка, что пользователь не может войти в систему, когда вводит невалидные данные","DiplomaTeam2 RegressionTest","Tue Aug 19 18:11:42 UTC 2025","passed","Tue Aug 19 18:11:44 UTC 2025","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithNegativeValue"
"Проверка, что пользователь не может войти в систему с некорректным email","2317","Проверка, что пользователь не может войти в систему с некорректным email","DiplomaTeam2 RegressionTest","Tue Aug 19 18:11:36 UTC 2025","passed","Tue Aug 19 18:11:39 UTC 2025","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkEmailField"
"Проверка, что пользователь не может войти в систему с некорректным паролем","2221","Проверка, что пользователь не может войти в систему с некорректным паролем","DiplomaTeam2 RegressionTest","Tue Aug 19 18:11:44 UTC 2025","passed","Tue Aug 19 18:11:47 UTC 2025","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkPasswordField"
"Проверка получения авто","614","Проверка получения авто","DiplomaTeam2 RegressionTest","Tue Aug 19 18:11:41 UTC 2025","passed","Tue Aug 19 18:11:42 UTC 2025","tests.api.CarTest","API Tests","tests.api.CarTest","readCar"
"Проверка создания авто","626","Проверка создания авто","DiplomaTeam2 RegressionTest","Tue Aug 19 18:11:39 UTC 2025","passed","Tue Aug 19 18:11:40 UTC 2025","tests.api.CarTest","API Tests","tests.api.CarTest","createCar"
"Проверка получения пользователя","276","getUser","DiplomaTeam2 RegressionTest","Tue Aug 19 18:11:39 UTC 2025","passed","Tue Aug 19 18:11:39 UTC 2025","tests.api.GetUserTest","API Tests","tests.api.GetUserTest","getUser"
"Проверка сообщения, что дом создан","2662","Позитивный тест Проверка сообщения, что дом создан","DiplomaTeam2 RegressionTest","Tue Aug 19 18:14:57 UTC 2025","broken","Tue Aug 19 18:14:59 UTC 2025","tests.ui.HouseTest","UI Tests","tests.ui.HouseTest","createHouse"
"Проверка, что созданный авто находится в таблице","23160","Проверка, что созданный авто находится в таблице","DiplomaTeam2 RegressionTest","Tue Aug 19 18:18:14 UTC 2025","broken","Tue Aug 19 18:18:38 UTC 2025","tests.ui.CarTest","UI Tests","tests.ui.CarTest","checkIdCarInTable"
"Проверка получения токена для авторизации","372","Проверка получения токена для авторизации","DiplomaTeam2 RegressionTest","Tue Aug 19 18:11:36 UTC 2025","passed","Tue Aug 19 18:11:37 UTC 2025","tests.api.AuthorizationTest","API Tests","tests.api.AuthorizationTest","authorization"
"Проверка сообщения, что авто не создан","2753","Негативный тест. Проверка сообщения, что авто не создан","DiplomaTeam2 RegressionTest","Tue Aug 19 18:15:00 UTC 2025","passed","Tue Aug 19 18:15:03 UTC 2025","tests.ui.CarTest","UI Tests","tests.ui.CarTest","createCarNotAllFieldCheck"
"Проверка удаления авто","617","Проверка удаления авто","DiplomaTeam2 RegressionTest","Tue Aug 19 18:11:46 UTC 2025","passed","Tue Aug 19 18:11:46 UTC 2025","tests.api.CarTest","API Tests","tests.api.CarTest","deleteCar"
"Проверка, что пользователь может купить авто","4253","Проверка, что пользователь может купить авто","DiplomaTeam2 RegressionTest","Tue Aug 19 18:12:34 UTC 2025","broken","Tue Aug 19 18:12:39 UTC 2025","tests.ui.BuyCarTest","UI Tests","tests.ui.BuyCarTest","checkUserWithCar"
"Проверка, что созданный пользователь находится в таблице","4243","checkIfUserIsInTable","DiplomaTeam2 RegressionTest","Tue Aug 19 18:13:08 UTC 2025","broken","Tue Aug 19 18:13:12 UTC 2025","tests.ui.ReadAllUsersTest","UI Tests","tests.ui.ReadAllUsersTest","checkIfUserIsInTable"
"Проверка добавления денег пользователю","626","addMoneyUser","DiplomaTeam2 RegressionTest","Tue Aug 19 18:11:37 UTC 2025","passed","Tue Aug 19 18:11:38 UTC 2025","tests.api.AddMoneyUserTest","API Tests","tests.api.AddMoneyUserTest","addMoneyUser"
"Проверка сообщения, что авто создан","23678","Позитивный тест Проверка сообщения, что авто создан","DiplomaTeam2 RegressionTest","Tue Aug 19 18:14:24 UTC 2025","broken","Tue Aug 19 18:14:47 UTC 2025","tests.ui.CarTest","UI Tests","tests.ui.CarTest","createCar"
"Проверка создания пользователя статус кода 201","3717","checkStatusCode201","DiplomaTeam2 RegressionTest","Tue Aug 19 18:12:51 UTC 2025","broken","Tue Aug 19 18:12:54 UTC 2025","tests.ui.CreateUserTest","UI Tests","tests.ui.CreateUserTest","checkStatusCode201"
"Проверка удаления дома","3768","Проверка удаления дома","DiplomaTeam2 RegressionTest","Tue Aug 19 18:17:00 UTC 2025","broken","Tue Aug 19 18:17:03 UTC 2025","tests.ui.HouseTest","UI Tests","tests.ui.HouseTest","deleteHouse"
"Создание пользователя API","631","createUser","DiplomaTeam2 RegressionTest","Tue Aug 19 18:11:38 UTC 2025","passed","Tue Aug 19 18:11:39 UTC 2025","tests.api.CreateUserTest","API Tests","tests.api.CreateUserTest","createUser"
"Проверка добавление денег пользователю","2784","checkAddNewMoneyByUser","DiplomaTeam2 RegressionTest","Tue Aug 19 18:12:01 UTC 2025","broken","Tue Aug 19 18:12:04 UTC 2025","tests.ui.AddMoneyUserTest","UI Tests","tests.ui.AddMoneyUserTest","checkAddNewMoneyByUser"
"Проверка удаления дома","612","Проверка удаления дома","DiplomaTeam2 RegressionTest","Tue Aug 19 18:11:47 UTC 2025","passed","Tue Aug 19 18:11:47 UTC 2025","tests.api.HouseTest","API Tests","tests.api.HouseTest","deleteHouse"
